Partner Country,Reporting Country,Segment,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
China,France ,Reels,138,138,138,138,138,138,136,140,139,130,150,139,101,209,107,16,370,285,564,117,545,350,293,381,739,347,69.6,385,267,241,298,269,269,278,272,273,275,273,274,274,274,274,274,274,274,274,274,274,274,274,274
China,Finland,Cut Size,22,22,22,22,21,22,22,21,23,22,17,29,21,0,67,0,0,0,0,0,0,0,0,0,0,0,16.8,6,7,10,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
China,Finland,Folio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.6,23,31,41,32,35,36,34,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
China,Finland,Reels,"1,556","1,556","1,556","1,556","1,555","1,558","1,555","1,550","1,569","1,547","1,535","1,624","1,482","1,500","1,891",51,98,0,3,183,521,641,608,"1,209",607,462,364.8,478,435,426,446,436,436,439,437,437,438,437,438,438,438,438,438,438,438,438,438,438,438,438,438
China,Denmark,Cut Size,6,6,6,6,6,6,6,6,5,7,5,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,Denmark,Folio,36,36,36,36,36,37,35,36,39,29,39,50,0,67,82,92,93,119,230,25,38,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,Denmark,Reels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,Belgium,Cut Size,162,161,163,162,159,167,161,148,190,145,109,316,11,0,938,"1,070",106,320,"1,495",2,805,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,Belgium,Folio,123,123,123,124,124,121,127,123,113,146,109,84,245,0,7,0,0,0,0,0,546,0,175,0,55,0,0,18,6,8,11,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
China,Belgium,Reels,181,181,181,182,181,181,185,176,181,199,149,194,253,0,329,24,47,0,0,0,1,2,19,0,68,77,405.6,184,222,270,225,239,245,237,240,241,239,240,240,240,240,240,240,240,240,240,240,240,240,240,240
China,Austria ,Cut Size,20,20,20,20,20,21,20,18,24,18,13,39,1,0,117,754,"1,113","1,533",688,691,"1,052",481,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,Austria ,Folio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,21,33,17,10,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,Austria ,Reels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,13,13,0,0,0,3,1,0,0,23,0,8,10,6,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Hong Kong,United Kingdom,Cut Size,557,557,556,557,558,554,558,563,540,571,579,469,664,605,139,207,204,326,307,333,248,163,332,326,373,250,33.6,219,167,140,175,161,159,165,162,162,163,162,162,162,162,162,162,162,162,162,162,162,162,162,162
Hong Kong,United Kingdom,Folio,333,333,333,332,333,334,329,335,340,313,351,356,232,465,370,745,359,522,358,113,155,172,128,349,468,374,1377.6,740,830,983,851,888,907,882,892,894,889,892,892,891,892,891,891,892,891,891,891,891,891,891,891
Hong Kong,United Kingdom,Reels,485,485,485,485,485,486,483,487,487,475,497,490,439,563,468,398,900,489,670,146,191,232,561,515,568,347,460.8,459,422,447,443,437,442,441,440,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441
Hong Kong,Switzerland,Cut Size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong,Switzerland,Folio,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong,Switzerland,Reels,2,2,2,2,2,2,2,2,2,2,2,1,4,0,1,0,0,0,0,6,5,0,0,0,0,50,0,17,22,13,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
Hong Kong,Sweden,Cut Size,316,316,318,315,315,323,307,317,345,258,347,428,0,614,670,848,"1,414",512,591,"1,088",413,310,383,399,271,199,52.8,174,142,123,146,137,136,140,137,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138
Hong Kong,Sweden,Folio,804,804,803,804,805,800,807,807,788,826,806,733,938,747,514,303,376,387,276,81,32,27,34,97,135,137,76.8,116,110,101,109,107,106,107,106,106,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107
Hong Kong,Sweden,Reels,"2,789","2,788","2,793","2,784","2,788","2,806","2,760","2,797","2,861","2,621","2,910","3,051","1,902","3,777","3,475","1,422","1,897","1,362",932,"2,345","1,828","1,326","2,478","2,989","2,866","2,266",1848,"2,327","2,147","2,107","2,194","2,149","2,150","2,164","2,154","2,156","2,158","2,156","2,157","2,157","2,157","2,157","2,157","2,157","2,157","2,157","2,157","2,157","2,157","2,157","2,157"
Hong Kong,Spain ,Cut Size,249,249,248,249,249,248,250,248,247,255,241,243,282,199,247,130,86,98,59,50,81,31,143,167,243,127,388.8,253,256,299,270,275,281,275,277,278,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277
Hong Kong,Spain ,Folio,134,134,134,134,133,135,132,133,142,122,134,169,64,167,277,66,27,60,7,32,151,298,115,44,0,49,76.8,42,56,58,52,55,55,54,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Hong Kong,Spain ,Reels,297,296,297,297,295,299,296,290,312,285,273,378,204,235,696,333,118,7,24,305,137,482,191,30,5,31,28.8,22,27,26,25,26,26,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
Hong Kong,Portugal,Cut Size,789,789,789,790,789,787,794,786,782,812,764,770,902,619,790,0,0,0,0,0,0,156,139,94,94,47,57.6,66,57,60,61,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Hong Kong,Portugal,Folio,228,228,229,228,229,229,225,233,227,215,257,210,179,382,69,0,0,0,0,0,0,298,433,261,527,482,144,384,337,288,336,321,315,324,320,320,321,320,320,321,320,320,321,320,321,321,320,321,321,320,321
Hong Kong,Portugal,Reels,43,43,43,43,43,42,44,43,39,51,38,29,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong,Norway,Folio,17,17,17,17,17,16,17,17,15,20,15,11,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong,Norway,Reels,23,23,23,23,23,22,24,23,21,27,20,15,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong,Netherlands,Cut Size,"1,079","1,079","1,080","1,079","1,076","1,086","1,075","1,067","1,117","1,041","1,043","1,267",813,"1,048","1,940","1,087",910,170,12,12,20,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong,Netherlands,Folio,181,181,181,180,180,183,177,180,191,161,189,223,69,276,326,6,10,17,19,7,14,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong,Netherlands,Reels,455,455,454,457,454,451,465,448,439,507,397,414,711,66,464,943,"1,830",29,25,65,87,48,80,34,54,0,0,18,6,8,11,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Hong Kong,Italy,Cut Size,89,88,89,89,87,91,88,81,105,79,59,177,0,0,531,13,0,1,3,81,143,224,83,4,0,0,62.4,21,28,37,29,31,32,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
Hong Kong,Italy,Folio,77,77,78,77,77,78,77,76,83,72,73,104,39,76,196,40,79,126,91,143,329,293,259,379,256,265,506.4,342,371,407,373,384,388,382,385,385,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384
Hong Kong,Italy,Reels,84,84,84,84,84,86,82,83,91,70,89,115,7,144,194,41,39,123,0,20,0,87,393,155,131,13,67.2,70,50,63,61,58,61,60,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Hong Kong,Ireland ,Cut Size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong,Germany ,Cut Size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,124,153,82,484,491,315,27,23,9,9,7.2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Hong Kong,Germany ,Folio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,913,78,454,320,505,84,40,199,250,226,331.2,269,275,292,279,282,284,282,283,283,282,283,283,283,283,283,283,283,283,283,283,283,283,283,283
Hong Kong,Germany ,Reels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,57,47,101,408,"1,394",813,156,275,683,422,595.2,567,528,563,553,548,555,552,551,553,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552
Hong Kong,France ,Cut Size,254,254,254,254,253,256,252,252,262,243,252,292,183,280,414,640,278,4,53,101,18,85,260,157,35,163,213.6,137,171,174,161,169,168,166,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167
Hong Kong,France ,Folio,659,658,659,660,655,663,661,640,690,652,578,840,538,355,"1,628",196,348,116,305,481,147,247,66,438,338,177,0,172,116,96,128,113,112,118,115,115,116,115,115,115,115,115,115,115,115,115,115,115,115,115,115
Hong Kong,France ,Reels,158,158,158,158,157,157,160,154,158,167,137,171,194,46,272,42,183,142,611,218,625,430,540,531,256,200,67.2,174,147,130,150,142,141,145,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143
Hong Kong,Finland,Cut Size,"1,585","1,584","1,586","1,584","1,583","1,589","1,581","1,580","1,607","1,554","1,579","1,689","1,395","1,653","2,017",270,0,147,168,108,0,0,"1,246",44,105,65,0,57,41,32,43,39,38,40,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
Hong Kong,Finland,Folio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.8,10,13,17,13,14,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Hong Kong,Finland,Reels,"2,231","2,229","2,230","2,232","2,226","2,233","2,239","2,205","2,254","2,257","2,104","2,402","2,264","1,647","3,294","1,329","1,893",458,775,264,196,64,206,101,39,92,0,44,45,30,40,38,36,38,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
Hong Kong,Denmark,Cut Size,218,219,218,219,219,215,224,218,201,253,201,151,407,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong,Denmark,Folio,137,137,138,137,137,140,134,136,151,113,145,195,0,240,345,292,164,234,208,143,131,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong,Denmark,Reels,73,73,73,73,72,74,72,70,80,67,65,110,25,59,246,126,157,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong,Belgium,Cut Size,144,143,144,144,141,148,143,132,168,130,97,278,14,0,820,"1,337",182,290,69,69,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong,Belgium,Folio,135,136,136,134,136,137,129,142,141,105,181,136,0,407,0,0,19,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong,Belgium,Reels,298,298,297,299,299,293,307,298,274,348,271,204,569,39,3,53,52,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong,Austria ,Cut Size,91,90,91,91,90,91,90,88,96,87,80,120,62,58,241,571,5,0,1,14,159,389,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong,Austria ,Folio,6,6,6,6,6,6,6,6,7,5,5,11,0,3,30,16,30,138,85,245,202,270,178,117,122,142,60,108,103,90,101,98,96,98,98,97,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
Hong Kong,Austria ,Reels,55,55,56,56,54,57,55,51,66,49,37,111,0,0,332,196,123,378,368,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,United Kingdom,Cut Size,94,94,94,95,94,93,96,93,91,105,85,83,148,23,77,32,367,272,128,16,32,72,31,30,64,30,0,31,20,17,23,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
India,United Kingdom,Folio,"1,696","1,696","1,704","1,689","1,694","1,730","1,644","1,709","1,838","1,384","1,904","2,224",25,"3,462","3,186","3,370","2,701","2,884","5,152","6,234","3,721",19,14,105,72,33,2.4,36,24,21,27,24,24,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
India,United Kingdom,Reels,59,58,59,59,58,60,58,56,66,52,50,95,12,45,227,389,344,26,10,4,173,762,988,"1,335","1,048","1,066",52.8,722,614,463,600,559,540,566,555,554,558,556,556,557,556,556,556,556,556,556,556,556,556,556,556
India,Switzerland,Cut Size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Switzerland,Folio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,550","5,151","6,918","7,114",7754.4,"7,262","7,377","7,464","7,368","7,403","7,412","7,394","7,403","7,403","7,400","7,402","7,402","7,401","7,402","7,402","7,401","7,402","7,402","7,402","7,402","7,402","7,402","7,402","7,402"
India,Switzerland,Reels,17,17,17,17,17,17,17,17,16,18,16,15,23,10,12,48,122,76,18,5,4,57,17,7,8,5,16.8,10,11,12,11,11,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
India,Sweden,Cut Size,8,8,8,8,8,8,7,8,8,6,10,8,0,23,0,27,50,0,0,447,570,415,535,127,213,102,60,125,96,94,105,98,99,100,99,99,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100
India,Sweden,Folio,51,51,51,51,51,52,49,53,54,41,63,60,0,128,51,97,50,42,33,394,800,474,329,137,96,68,86.4,83,79,83,82,81,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
India,Sweden,Reels,24,24,24,24,24,24,25,24,22,29,22,16,49,0,0,0,0,0,22,0,12,238,344,250,266,280,369.6,305,318,331,318,322,324,322,323,323,322,323,322,322,322,322,322,322,322,322,322,322,322,322,322
India,Spain ,Cut Size,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,12,0,17,0,0,96,0,0,86,96,52,74.4,74,67,72,71,70,71,71,70,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71
India,Spain ,Folio,56,56,56,56,56,57,56,55,60,51,54,75,25,62,138,69,194,988,177,47,13,40,289,0,23,3,96,41,47,61,49,52,54,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
India,Spain ,Reels,"1,292","1,292","1,291","1,293","1,291","1,290","1,296","1,288","1,285","1,316","1,263","1,277","1,406","1,107","1,317","1,200","1,315","1,836","1,744","1,488","2,332","1,169","1,000",826,"1,018","1,871",2815.2,"1,901","2,196","2,304","2,134","2,211","2,216","2,187","2,205","2,203","2,198","2,202","2,201","2,200","2,201","2,201","2,201","2,201","2,201","2,201","2,201","2,201","2,201","2,201","2,201"
India,Portugal,Cut Size,29,29,29,28,29,29,27,30,30,22,38,29,0,86,0,0,0,0,0,0,0,47,43,46,17,33,43.2,31,36,37,34,36,36,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
India,Portugal,Folio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,342,463,548,608,486,972,689,716,792,732,747,757,745,750,751,748,750,750,749,749,749,749,749,749,749,749,749,749,749,749
India,Portugal,Reels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Norway,Reels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Netherlands,Cut Size,235,235,236,234,234,238,230,234,250,206,246,299,73,368,455,645,923,201,55,0,1,0,0,0,6,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
India,Netherlands,Folio,663,663,663,664,664,660,667,665,648,689,658,596,814,562,411,439,"2,792",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Netherlands,Reels,175,174,175,175,173,177,174,168,189,166,148,253,98,93,568,946,"2,259","1,651","2,169","2,325","3,209",209,"1,858","1,120",141,628,1411.2,727,922,"1,020",890,944,951,928,941,940,936,939,939,938,939,938,938,938,938,938,938,938,938,938,938
India,Italy,Cut Size,19,19,19,19,19,20,19,18,23,17,13,39,0,0,116,201,187,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Italy,Folio,6,6,6,6,6,7,6,6,7,5,6,10,0,8,23,22,43,149,80,29,249,181,301,28,167,518,112.8,266,299,226,264,263,251,259,258,256,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257
India,Italy,Reels,52,52,52,52,52,52,52,53,51,52,55,46,57,62,18,375,224,"2,228","3,624","2,966","2,746","3,270",152,22,2,104,235.2,114,151,167,144,154,155,151,153,153,152,153,153,153,153,153,153,153,153,153,153,153,153,153,153
India,Ireland ,Cut Size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Greece,Folio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
India,Germany ,Cut Size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,61,1,1,49,0,0,1,1,14,0,0,5,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
India,Germany ,Folio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,448","2,757","3,609","3,136","3,143","4,635","4,148","1,168","2,754","3,948",90,484.8,"1,508",694,896,"1,032",874,934,947,918,933,933,928,931,931,930,931,930,930,930,930,930,930,930,930,930
India,Germany ,Reels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,350","1,230","2,950","4,410",957,740,201,671,829,650,617,921.6,730,756,802,763,774,780,772,775,776,774,775,775,775,775,775,775,775,775,775,775,775,775,775,775
India,France ,Cut Size,56,56,56,56,56,56,56,55,57,57,51,62,58,34,92,12,24,61,47,61,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,France ,Folio,98,99,99,98,99,99,96,102,99,86,121,91,46,227,0,0,"1,296",679,54,"1,183","1,039","1,962","3,631","1,822","1,502","2,501",4500,"2,834","3,278","3,538","3,217","3,344","3,366","3,309","3,340","3,338","3,329","3,336","3,334","3,333","3,334","3,334","3,334","3,334","3,334","3,334","3,334","3,334","3,334","3,334","3,334"
India,France ,Reels,32,32,32,32,32,32,33,32,32,33,32,30,38,28,25,7,31,115,75,16,15,0,0,60,25,79,172.8,92,115,127,111,117,118,116,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117
India,Finland,Cut Size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Finland,Folio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,43,0,14,19,11,15,15,14,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
India,Finland,Reels,178,178,178,178,179,177,178,181,172,181,190,146,206,216,16,670,97,92,"1,879","3,882",565,504,185,251,520,867,648,678,731,686,698,705,696,700,701,699,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700
India,Denmark,Folio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,173,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Belgium,Cut Size,"1,150","1,144","1,154","1,152","1,127","1,185","1,144","1,052","1,358","1,024",774,"2,275",21,26,"6,777","3,594","1,288",976,126,97,22,75,39,0,20,121,12,51,61,41,51,51,48,50,50,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
India,Belgium,Folio,101,100,101,101,99,104,100,92,118,90,68,197,6,0,586,25,0,262,6,0,0,60,"1,442",301,388,100,0,163,88,83,111,94,96,100,97,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
India,Belgium,Reels,135,135,134,135,135,132,138,134,124,157,121,92,259,12,7,143,85,132,337,148,323,395,195,198,162,30,0,64,31,32,42,35,36,38,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
India,Austria ,Cut Size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,91,28,31,148,26,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Austria ,Folio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,23,32,74,86,10,21,0,26,12,13,17,14,14,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
India,Austria ,Reels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,United Kingdom,Cut Size,90,90,90,90,90,89,92,90,84,100,87,65,148,48,0,71,77,89,168,52,0,15,43,18,90,20,0,37,19,19,25,21,21,22,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
Indonesia,United Kingdom,Folio,168,169,169,167,169,170,162,176,172,139,216,162,40,446,0,23,0,882,476,0,0,0,0,342,280,656,52.8,330,346,243,306,298,282,296,292,290,293,292,291,292,292,292,292,292,292,292,292,292,292,292,292
Indonesia,United Kingdom,Reels,43,43,43,43,43,44,43,43,45,40,46,49,24,64,58,525,174,83,17,12,13,38,78,76,74,14,31.2,40,28,33,34,32,33,33,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
Indonesia,Switzerland,Folio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Switzerland,Reels,12,12,11,12,11,11,12,11,11,13,10,10,19,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Sweden,Cut Size,104,104,104,103,105,106,99,109,108,81,139,104,0,312,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Sweden,Folio,8,8,8,8,8,8,8,7,10,7,5,16,0,0,48,24,0,14,26,27,34,15,23,18,51,47,0,33,27,20,26,24,23,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Indonesia,Sweden,Reels,769,769,765,772,770,754,792,766,704,907,687,518,"1,516",27,11,0,510,332,0,"2,709",874,"1,475","2,410","1,483","3,254",634,0,"1,296",643,646,862,717,742,774,744,753,757,752,754,754,753,754,754,754,754,754,754,754,754,754,754
Indonesia,Spain ,Cut Size,12,12,12,12,12,12,12,12,13,12,10,16,11,2,35,1,0,0,0,0,0,0,14,114,70,133,208.8,137,160,169,155,161,162,159,161,161,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
Indonesia,Spain ,Folio,24,24,24,24,24,25,24,25,25,20,30,24,7,60,6,7,19,10,47,245,184,249,107,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Spain ,Reels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,21,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Netherlands,Cut Size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2,0,0,0,0,0,22,0,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Indonesia,Netherlands,Folio,880,881,880,880,884,875,881,896,849,897,942,707,"1,042","1,078",0,0,0,0,0,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Netherlands,Reels,2,2,2,2,2,2,2,2,2,2,3,2,0,7,0,159,73,41,"1,029",322,373,0,0,0,69,0,0,23,8,10,14,11,11,12,11,12,12,11,12,12,11,12,12,11,12,11,11,12,11,11,12
Indonesia,Italy,Cut Size,1,1,1,1,1,1,1,1,1,1,1,2,0,0,7,0,0,0,0,22,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Italy,Folio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,14,114,123,156,177,114,104,0,73,59,44,58,54,52,55,53,53,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
Indonesia,Italy,Reels,6,6,6,6,6,6,6,7,7,5,8,6,0,19,0,0,9,840,"2,440","1,903","1,021",187,424,0,15,0,9.6,8,6,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
